"ID","Series","Repeat","Ambient Humidity","Ambient Temperature","ECSt mAU","gH+","Leaf Angle","Leaf Temperature Differential","LEF","Light Intensity (PAR)","NPQt","Phi2","PhiNO","PhiNPQ","PS1 Active Centers","PS1 Open Centers","PS1 Over Reduced Centers","PS1 Oxidized Centers","Relative Chlorophyll","Thickness","vH+","time","Leaf position","Plant ID","Plot ID","Time","Time of Day","User","Device ID","Latitude","Longitude","Issues"
6544170,"Whole Data Set",1,33.329,33.82,0.00073,148.847,54.621,-4.13,101.47987395000001,491.309,2.614,0.459,0.15,0.391,4.064,0.682,0.303,0.015,67.47,0.27,0.109,"07/22/2026 4:59 PM","Lower",05,"P03","Late",16.983333333333334,"suraj karkee","41:00:13:15",39.208455,-96.59383333333332,""
6544169,"Whole Data Set",1,32.378,34.05,0.00032,176.086,77.5,-4.76,56.353257,243.164,1.748,0.515,0.176,0.308,4.386,0.524,0.36,0.116,67.83,0.32,0.056,"07/22/2026 5:02 PM","Upper",10,"P03","Late",17.045555555555556,"suraj karkee","41:00:13:15",39.20843166666667,-96.59382833333332,""
6544168,"Whole Data Set",1,31.617,34.12,0.00087,104.005,58.254,-5.07,85.76260289999999,397.878,1.668,0.479,0.195,0.326,5.132,0.46,0.446,0.094,68.95,0.2,0.09,"07/22/2026 5:03 PM","Middle",10,"P03","Late",17.054722222222225,"suraj karkee","41:00:13:15",39.208459999999995,-96.59381333333334,""
6544167,"Whole Data Set",1,32.137,34.18,0.00075,137.896,55.864,-5.65,112.2754968,588.446,2.15,0.424,0.183,0.393,3.813,0.926,0.297,-0.223,71.57,0.32,0.103,"07/22/2026 5:03 PM","Lower",10,"P03","Late",17.064722222222223,"suraj karkee","41:00:13:15",39.208486666666666,-96.59384166666665,""
6544166,"Whole Data Set",1,34.015,34.52,0.00151,100.486,80.661,-4.91,165.7645857,1143.993,2.182,0.322,0.213,0.465,5.978,0.316,0.295,0.389,69.43,0.25,0.152,"07/22/2026 5:07 PM","Upper",05,"P02","Late",17.12666666666667,"suraj karkee","41:00:13:15",39.20839333333333,-96.59393166666665,""
6544165,"Whole Data Set",1,31.958,34.54,0.0002,263.416,91.557,-4.67,48.2426685,183.258,0.8,0.585,0.23,0.184,4.943,0.617,0.775,-0.392,69.25,0.3,0.053,"07/22/2026 5:08 PM","Middle",05,"P02","Late",17.136388888888888,"suraj karkee","41:00:13:15",39.20841166666666,-96.59389333333333,""
6544164,"Whole Data Set",1,31.723,34.6,0.00093,153.99,53.659,-5.67,131.90667750000003,751.605,2.356,0.39,0.182,0.428,3.286,0.706,-0.016,0.31,70.6,0.29,0.143,"07/22/2026 5:08 PM","Lower",05,"P02","Late",17.14527777777778,"suraj karkee","41:00:13:15",39.20841666666667,-96.59390333333334,""
6544163,"Whole Data Set",1,35.006,34.97,0.00025,442.777,76.622,-5,53.79639300000001,216.18,1.511,0.553,0.178,0.269,3.309,0.627,0.197,0.176,65.29,0.27,0.111,"07/22/2026 5:11 PM","Upper",07,"P02","Late",17.195555555555554,"suraj karkee","41:00:13:15",39.20842833333334,-96.59387,""
6544162,"Whole Data Set",1,34.736,35.05,0.00127,173.662,40.136,-4.04,245.92480920000003,1994.524,5.568,0.274,0.111,0.616,4.211,0.411,0.136,0.453,64.87,0.38,0.221,"07/22/2026 5:12 PM","Middle",07,"P02","Late",17.204166666666666,"suraj karkee","41:00:13:15",39.208414999999995,-96.59389666666667,""
6544161,"Whole Data Set",1,32.517,35.16,0.00022,278.923,85.261,-5.29,46.3550472,173.712,1.045,0.593,0.199,0.208,5.59,0.53,0.474,-0.004,69.34,0.51,0.061,"07/22/2026 5:12 PM","Lower",07,"P02","Late",17.21361111111111,"suraj karkee","41:00:13:15",39.20840333333333,-96.59391,""
6544160,"Whole Data Set",1,32.453,35.46,0.0014,168.54,94.876,-4.63,218.74268205000004,2141.387,5.686,0.227,0.116,0.657,4.604,0.456,0.254,0.29,66.87,0.27,0.236,"07/22/2026 5:16 PM","Upper",09,"P02","Late",17.27777777777778,"suraj karkee","41:00:13:15",39.208459999999995,-96.59388499999999,""
6544159,"Whole Data Set",1,30.882,35.46,0.00121,176.872,74.608,-5.45,250.81414874999996,2371.765,4.582,0.235,0.137,0.628,5.079,0.362,0.359,0.279,71.89,0.3,0.214,"07/22/2026 5:17 PM","Middle",09,"P02","Late",17.28805555555556,"suraj karkee","41:00:13:15",39.20843333333333,-96.59389166666666,""
6544158,"Whole Data Set",1,31.579,35.48,0.00027,114.525,51.831,-6.37,51.84431595000001,214.543,1.64,0.537,0.176,0.288,7.061,0.372,0.624,0.004,71.13,0.33,0.031,"07/22/2026 5:17 PM","Lower",09,"P02","Late",17.296666666666667,"suraj karkee","41:00:13:15",39.20846166666667,-96.59387333333333,""
6544157,"Whole Data Set",1,31.132,35.61,0.00037,224.287,81.415,-5.6,65.0405214,288.492,1.725,0.501,0.183,0.316,11.885,0.28,0.77,-0.051,63.16,0.34,0.083,"07/22/2026 5:21 PM","Upper",11,"P02","Late",17.35,"suraj karkee","41:00:13:15",39.20841666666667,-96.59391,""
6544156,"Whole Data Set",1,30.904,35.62,0.00093,210.85,59.59,-7.13,213.60929040000002,1798.058,3.226,0.264,0.174,0.562,6.04,0.365,0.386,0.249,69.18,0.39,0.196,"07/22/2026 5:21 PM","Middle",11,"P02","Late",17.35888888888889,"suraj karkee","41:00:13:15",39.208443333333335,-96.59388499999999,""
6544155,"Whole Data Set",1,31.557,35.68,0.00112,174.045,57.265,-4.57,218.4071148,1691.112,5.109,0.287,0.117,0.596,5.561,0.444,0.334,0.222,68.62,0.3,0.195,"07/22/2026 5:22 PM","Lower",11,"P02","Late",17.375833333333333,"suraj karkee","41:00:13:15",39.20841333333333,-96.59390333333334,""
6543669,"Whole Data Set",1,52.465,25.54,0.00068,104.509,66.789,-1.59,66.6841446,284.428,1.329,0.521,0.206,0.273,5.455,0.334,0.728,-0.062,70.14,0.32,0.071,"07/22/2026 9:07 AM","Upper",04,"P01","Morning",9.1325,"suraj karkee","41:00:13:15",39.208345,-96.59375666666668,""
6543668,"Whole Data Set",1,52.402,25.71,0.00089,140.917,65.69,-1.28,137.09698874999998,1194.745,1.867,0.255,0.26,0.485,6.358,0.337,0.556,0.107,67.28,0.26,0.125,"07/22/2026 9:08 AM","Middle",04,"P01","Morning",9.141944444444444,"suraj karkee","41:00:13:15",39.208351666666665,-96.59386166666667,""
6543667,"Whole Data Set",1,52.475,25.93,0.00048,135.707,57.683,-2.16,62.26716375000001,257.675,1.243,0.537,0.206,0.256,5.962,0.278,0.647,0.074,70.43,0.23,0.065,"07/22/2026 9:09 AM","Lower",04,"P01","Morning",9.151111111111112,"suraj karkee","41:00:13:15",39.208373333333334,-96.59382333333333,""
6543666,"Whole Data Set",1,52.445,26.18,0.00034,254.977,83.729,-1.27,60.301575,268.007,1.147,0.5,0.233,0.267,4.867,0.369,0.653,-0.021,64.51,0.18,0.087,"07/22/2026 9:09 AM","Upper",05,"P01","Morning",9.160833333333334,"suraj karkee","41:00:13:15",39.20838166666667,-96.593845,""
6543665,"Whole Data Set",1,52.768,26.43,0.00121,89.423,67.961,-1.92,111.2072544,702.066,1.757,0.352,0.235,0.413,4.364,0.536,0.268,0.196,70.22,0.37,0.108,"07/22/2026 9:10 AM","Middle",05,"P01","Morning",9.170555555555556,"suraj karkee","41:00:13:15",39.20834166666667,-96.59383000000001,""
6543664,"Whole Data Set",1,52.766,26.72,0.00094,108.191,56.567,-2.15,116.6844195,556.435,1.594,0.466,0.206,0.328,6.886,0.332,0.543,0.125,66.56,0.28,0.102,"07/22/2026 9:10 AM","Lower",05,"P01","Morning",9.181666666666667,"suraj karkee","41:00:13:15",39.20835,-96.59385833333333,""
6543663,"Whole Data Set",1,47.597,28.22,0.00034,189.32,71.787,-1.79,62.470022400000005,255.188,1.218,0.544,0.206,0.25,4.976,0.357,0.569,0.074,59.68,0.33,0.064,"07/22/2026 9:16 AM","Upper",06,"P01","Morning",9.276944444444446,"suraj karkee","41:00:13:15",39.20841,-96.59382166666667,""
6543662,"Whole Data Set",1,47.172,28.32,0.00089,154.378,56.415,-2.55,153.12232845000003,1246.417,1.862,0.273,0.254,0.473,5.19,0.307,0.453,0.24,64.95,0.21,0.137,"07/22/2026 9:17 AM","Middle",06,"P01","Morning",9.286111111111111,"suraj karkee","41:00:13:15",39.20838166666667,-96.59383333333332,""
6543661,"Whole Data Set",1,47.467,28.43,0.0004,154.144,57.008,-2.62,64.4817996,285.444,1.396,0.502,0.208,0.29,4.85,0.352,0.602,0.046,70.05,0.33,0.062,"07/22/2026 9:17 AM","Lower",06,"P01","Morning",9.295,"suraj karkee","41:00:13:15",39.20838166666667,-96.59381,""
6543660,"Whole Data Set",1,48.321,29.61,0.00033,230.047,72.797,-3.08,68.22153180000001,308.137,1.405,0.492,0.211,0.297,5.81,0.427,0.743,-0.17,69.56,0.25,0.076,"07/22/2026 9:22 AM","Upper",08,"P01","Morning",9.369444444444445,"suraj karkee","41:00:13:15",39.20840666666666,-96.59379833333332,""
6543659,"Whole Data Set",1,45.538,30.67,0.00084,121.434,64.6,-3.92,126.9545508,719.697,1.765,0.392,0.22,0.388,5.408,0.347,0.401,0.252,71.3,0.25,0.102,"07/22/2026 9:26 AM","Middle",08,"P01","Morning",9.4375,"suraj karkee","41:00:13:15",39.208385,-96.59387166666666,""
6543658,"Whole Data Set",1,45.563,30.81,0.00048,126.441,60.43,-4.76,62.12230200000001,281.16,1.54,0.491,0.201,0.309,4.589,0.467,0.542,-0.01,68.53,0.34,0.061,"07/22/2026 9:26 AM","Lower",08,"P01","Morning",9.446111111111112,"suraj karkee","41:00:13:15",39.20839333333333,-96.59383333333332,""
6543657,"Whole Data Set",1,39.854,31.44,0.00061,179.546,81.045,-5.05,148.88411100000002,837.604,1.916,0.395,0.207,0.397,3.904,0.329,0.312,0.36,64.13,0.3,0.11,"07/22/2026 9:30 AM","Upper",01,"P03","Morning",9.51388888888889,"suraj karkee","41:00:13:15",39.20844,-96.59385333333333,""
6543656,"Whole Data Set",1,40.651,31.46,0.00045,185.286,73.971,-4.89,101.34368145,451.319,1.596,0.499,0.193,0.308,4.887,0.486,0.496,0.019,67.97,0.24,0.083,"07/22/2026 9:31 AM","Middle",01,"P03","Morning",9.523055555555556,"suraj karkee","41:00:13:15",39.20845,-96.59383166666666,""
6543654,"Whole Data Set",1,40.382,31.5,0.00055,217.707,47.502,-4.43,155.23711740000002,763.211,2.264,0.452,0.168,0.38,3.535,0.537,0.309,0.155,64.27,0.23,0.12,"07/22/2026 9:31 AM","Lower",01,"P03","Morning",9.53277777777778,"suraj karkee","41:00:13:15",39.20844833333333,-96.59384166666665,""
6543653,"Whole Data Set",1,42.675,31.8,0.00111,151.035,64.008,-5.69,189.55910880000002,1385.666,3.817,0.304,0.144,0.551,3.608,0.728,-0.006,0.278,63.12,0.29,0.168,"07/22/2026 9:34 AM","Upper",02,"P03","Morning",9.580277777777777,"suraj karkee","41:00:13:15",39.20843,-96.59382499999998,""
6543652,"Whole Data Set",1,39.406,31.89,0.00049,165.954,51.291,-5.22,87.90732855,383.791,1.518,0.509,0.195,0.296,4.681,0.55,0.521,-0.071,64.77,0.27,0.081,"07/22/2026 9:35 AM","Middle",02,"P03","Morning",9.593611111111112,"suraj karkee","41:00:13:15",39.20845833333333,-96.59382666666667,""
6543651,"Whole Data Set",1,39.205,31.9,0.00043,190.413,48.962,-5.89,108.72333000000002,473.74,1.532,0.51,0.193,0.296,3.816,0.409,0.256,0.335,66.76,0.3,0.082,"07/22/2026 9:36 AM","Lower",02,"P03","Morning",9.6025,"suraj karkee","41:00:13:15",39.208441666666666,-96.59382333333333,""
6543650,"Whole Data Set",1,39.517,31.93,0.00059,105.647,73.59,-5.18,56.533276799999996,242.528,1.387,0.518,0.202,0.28,4.551,0.568,0.42,0.013,66.25,0.26,0.062,"07/22/2026 9:40 AM","Upper",05,"P03","Morning",9.672222222222222,"suraj karkee","41:00:13:15",39.20848,-96.59382666666667,""
6543649,"Whole Data Set",1,39.074,31.89,0.00066,153.546,78.022,-5.78,107.95393800000001,563.14,2.49,0.426,0.164,0.41,6.13,0.315,0.504,0.18,69.09,0.25,0.101,"07/22/2026 9:40 AM","Middle",05,"P03","Morning",9.681944444444444,"suraj karkee","41:00:13:15",39.208470000000005,-96.59380000000002,""
6543648,"Whole Data Set",1,37.992,31.88,0.00051,177.244,50.933,-5.93,89.2861461,398.421,1.666,0.498,0.188,0.313,4.051,0.372,0.466,0.163,68.41,0.27,0.09,"07/22/2026 9:41 AM","Lower",05,"P03","Morning",9.690833333333334,"suraj karkee","41:00:13:15",39.208485,-96.59381333333334,""
6543647,"Whole Data Set",1,38.773,31.71,-0.00004,-827.833,111.507,-6.24,31.6726605,120.314,1.015,0.585,0.206,0.209,5.43,0.457,0.668,-0.125,67.83,0.23,0.033,"07/22/2026 9:44 AM","Upper",10,"P03","Morning",9.739444444444443,"suraj karkee","41:00:13:15",39.208459999999995,-96.59382833333332,""
6543646,"Whole Data Set",1,38.229,31.58,0.00028,183.432,56.069,-6.15,54.77497739999999,212.801,1.357,0.572,0.182,0.246,6.346,0.336,0.64,0.023,69.45,0.21,0.051,"07/22/2026 9:45 AM","Middle",10,"P03","Morning",9.750277777777777,"suraj karkee","41:00:13:15",39.20849166666667,-96.59380166666666,""
6543645,"Whole Data Set",1,37.905,31.55,0.00054,137.608,60.358,-6.88,92.04931800000001,383.06,1.559,0.534,0.182,0.284,5.825,0.182,0.565,0.253,72.45,0.34,0.074,"07/22/2026 9:45 AM","Lower",10,"P03","Morning",9.759444444444444,"suraj karkee","41:00:13:15",39.208463333333334,-96.59381,""
6543644,"Whole Data Set",1,40.141,31.6,0.00033,182.766,74.801,-5.13,82.8240957,378.711,1.575,0.486,0.199,0.314,5.284,0.416,0.579,0.005,68.91,0.26,0.06,"07/22/2026 9:48 AM","Upper",05,"P02","Morning",9.805277777777778,"suraj karkee","41:00:13:15",39.208423333333336,-96.5939,""
6543643,"Whole Data Set",1,40.345,31.62,0.00051,141.276,74.978,-5.51,72.2747016,326.444,1.442,0.492,0.208,0.3,5.552,0.409,0.592,-0.001,68.39,0.31,0.072,"07/22/2026 9:48 AM","Middle",05,"P02","Morning",9.81388888888889,"suraj karkee","41:00:13:15",39.20844,-96.59398833333334,""
6543642,"Whole Data Set",1,40.585,31.66,0.00073,126.385,64.619,-5.65,108.2522826,520.694,2.197,0.462,0.168,0.37,4.046,0.392,0.213,0.395,68.58,0.36,0.092,"07/22/2026 9:49 AM","Lower",05,"P02","Morning",9.822222222222223,"suraj karkee","41:00:13:15",39.2084,-96.59395833333335,""
6543641,"Whole Data Set",1,41.328,31.87,0.0005,179.923,69.521,-5.62,114.16220460000001,538.628,1.978,0.471,0.178,0.351,4.608,0.475,0.431,0.094,65.83,0.32,0.09,"07/22/2026 9:52 AM","Upper",07,"P02","Morning",9.868333333333334,"suraj karkee","41:00:13:15",39.20847166666667,-96.59389833333334,""
6543640,"Whole Data Set",1,40.463,31.88,0.00045,205.599,32.126,-5.41,131.47312499999998,695.625,2.127,0.42,0.185,0.394,3.918,0.353,0.436,0.211,64.11,0.22,0.093,"07/22/2026 9:52 AM","Middle",07,"P02","Morning",9.877222222222223,"suraj karkee","41:00:13:15",39.20844,-96.59390166666665,""
6543639,"Whole Data Set",1,41.18,31.93,0.00066,116.496,86.824,-5.54,91.70078400000001,454.865,2.049,0.448,0.181,0.371,4.242,0.407,0.386,0.207,69.51,0.49,0.077,"07/22/2026 9:53 AM","Lower",07,"P02","Morning",9.886111111111111,"suraj karkee","41:00:13:15",39.208459999999995,-96.59388499999999,""
6543638,"Whole Data Set",1,40.544,32.14,0.0005,118.87,84.407,-5.29,68.0145534,300.484,1.675,0.503,0.186,0.311,2.854,0.592,0.046,0.362,66.67,0.21,0.059,"07/22/2026 9:56 AM","Upper",09,"P02","Morning",9.943611111111112,"suraj karkee","41:00:13:15",39.208455,-96.59388166666668,""
6543637,"Whole Data Set",1,40.427,32.14,0.00089,88.289,68.468,-5.67,81.7915392,405.712,2.161,0.448,0.174,0.377,5.613,0.347,0.582,0.071,71.07,0.29,0.079,"07/22/2026 9:57 AM","Middle",08,"P02","Morning",9.952222222222222,"suraj karkee","41:00:13:15",39.20847166666667,-96.59387,""
6543636,"Whole Data Set",1,40.074,32.19,0.00087,116.983,40.528,-6.14,117.74420999999998,615.656,2.262,0.425,0.176,0.399,6.695,0.369,0.539,0.092,70.94,0.26,0.102,"07/22/2026 9:57 AM","Lower",09,"P02","Morning",9.960833333333333,"suraj karkee","41:00:13:15",39.20843166666667,-96.59385833333333,""
6543635,"Whole Data Set",1,40.044,32.38,0.00074,111.361,68.024,-6.75,112.77288539999999,585.529,2.303,0.428,0.173,0.399,4.167,0.726,0.387,-0.112,64.49,0.5,0.082,"07/22/2026 10:00 AM","Upper",11,"P02","Morning",10.009166666666667,"suraj karkee","41:00:13:15",39.208435,-96.59390166666665,""
6543634,"Whole Data Set",1,39.473,32.39,0.00052,163.508,50.384,-5.92,83.30624730000001,399.838,1.863,0.463,0.188,0.35,4.031,0.593,0.365,0.042,71.04,0.27,0.085,"07/22/2026 10:01 AM","Middle",11,"P02","Morning",10.017777777777779,"suraj karkee","41:00:13:15",39.20844833333333,-96.59390166666665,""
6543633,"Whole Data Set",1,39.584,32.43,0.00033,159.883,48.328,-6.04,59.18816745,242.227,1.446,0.543,0.187,0.27,5.183,0.303,0.579,0.118,71.61,0.23,0.053,"07/22/2026 10:01 AM","Lower",11,"P02","Morning",10.026666666666667,"suraj karkee","41:00:13:15",39.208435,-96.59390333333334,""
6543632,"Whole Data Set",1,36.056,32.04,0.00061,163.381,69.794,-3.37,119.031651,645.158,2.116,0.41,0.189,0.401,4.49,0.48,0.397,0.123,68.79,0.3,0.1,"07/22/2026 12:11 PM","Upper",04,"P01","Noon",12.192222222222222,"suraj karkee","41:00:13:15",39.208398333333335,-96.59382333333333,""
6543631,"Whole Data Set",1,35.516,32.13,0.00066,197.13,74.805,-4.32,147.90564,893.15,2.399,0.368,0.186,0.446,5.597,0.348,0.444,0.208,69.61,0.33,0.13,"07/22/2026 12:12 PM","Middle",04,"P01","Noon",12.201944444444443,"suraj karkee","41:00:13:15",39.208385,-96.59382333333333,""
6543630,"Whole Data Set",1,35.417,32.23,0.0005,209.82,54.191,-4.98,117.96412500000001,569.875,1.848,0.46,0.19,0.351,5.493,0.479,0.427,0.094,70.33,0.27,0.105,"07/22/2026 12:12 PM","Lower",04,"P01","Noon",12.210833333333333,"suraj karkee","41:00:13:15",39.208380000000005,-96.593845,""
6543629,"Whole Data Set",1,34.429,32.55,0.00081,153.21,78.888,-4.66,111.9000078,522.409,1.303,0.476,0.227,0.296,4.34,0.639,0.409,-0.048,65.8,0.3,0.124,"07/22/2026 12:15 PM","Upper",05,"P01","Noon",12.256944444444445,"suraj karkee","41:00:13:15",39.208378333333336,-96.593835,""
6543628,"Whole Data Set",1,35.027,32.6,0.00058,205.96,67.714,-5.07,117.25579080000001,597.634,1.775,0.436,0.203,0.361,4.059,0.513,-0.097,0.584,70.02,0.27,0.119,"07/22/2026 12:15 PM","Middle",05,"P01","Noon",12.265833333333333,"suraj karkee","41:00:13:15",39.20838833333333,-96.593845,""
6543627,"Whole Data Set",1,34.924,32.64,0.00094,142.552,63.369,-5.75,149.65881885000002,877.507,1.635,0.379,0.236,0.385,7.005,0.539,0.457,0.005,68.7,0.27,0.134,"07/22/2026 12:16 PM","Lower",05,"P01","Noon",12.274166666666668,"suraj karkee","41:00:13:15",39.208376666666666,-96.59382333333333,""
6543626,"Whole Data Set",1,33.235,32.86,0.00037,177.507,76.242,-5.19,105.69855240000001,466.043,1.513,0.504,0.197,0.299,6.009,0.46,0.449,0.091,65.75,0.48,0.066,"07/22/2026 12:18 PM","Upper",06,"P01","Noon",12.314444444444446,"suraj karkee","41:00:13:15",39.20840666666666,-96.59384,""
6543625,"Whole Data Set",1,33.823,32.9,0.0007,227.362,55.002,-4.69,228.38417955,1872.769,4.036,0.271,0.145,0.584,4.157,0.454,0.275,0.272,64.4,0.25,0.159,"07/22/2026 12:19 PM","Middle",06,"P01","Noon",12.323333333333332,"suraj karkee","41:00:13:15",39.208373333333334,-96.59382,""
6543624,"Whole Data Set",1,33.351,32.96,0.00057,183.246,66.75,-5.89,119.72169495,620.159,1.83,0.429,0.202,0.369,4.418,0.597,0.366,0.037,68.54,0.31,0.104,"07/22/2026 12:19 PM","Lower",06,"P01","Noon",12.331388888888888,"suraj karkee","41:00:13:15",39.20841666666667,-96.593845,""
